pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	drug_a_split	drug_b_split	split	unseen_drug_count
40708	DB00264|DB00502	DB00502	DB00264	training	training	training	0
40709	DB00502|DB00916	DB00502	DB00916	training	training	training	0
40710	DB00502|DB06148	DB00502	DB06148	training	training	training	0
40711	DB00502|DB01110	DB00502	DB01110	training	test	test	1
40712	DB00502|DB00683	DB00502	DB00683	training	test	test	1
40713	DB00502|DB01017	DB00502	DB01017	training	training	training	0
40714	DB00295|DB00502	DB00502	DB00295	training	training	training	0
40715	DB00332|DB00502	DB00502	DB00332	training	test	test	1
40716	DB00502|DB01203	DB00502	DB01203	training	validation	validation	1
40717	DB00502|DB01183	DB00502	DB01183	training	training	training	0
40718	DB00502|DB00788	DB00502	DB00788	training	test	test	1
40719	DB00502|DB12293	DB00502	DB12293	training	training	training	0
40720	DB00502|DB00994	DB00502	DB00994	training	training	training	0
40721	DB00502|DB00627	DB00502	DB00627	training	validation	validation	1
40722	DB00502|DB00622	DB00502	DB00622	training	training	training	0
40723	DB00502|DB01115	DB00502	DB01115	training	test	test	1
40724	DB00502|DB01595	DB00502	DB01595	training	training	training	0
40725	DB00368|DB00502	DB00502	DB00368	training	training	training	0
40726	DB00502|DB01059	DB00502	DB01059	training	training	training	0
40727	DB00502|DB00540	DB00502	DB00540	training	training	training	0
40728	DB00502|DB00646	DB00502	DB00646	training	training	training	0
40729	DB00104|DB00502	DB00502	DB00104	training	training	training	0
40730	DB00502|DB01165	DB00502	DB01165	training	training	training	0
40731	DB00338|DB00502	DB00502	DB00338	training	training	training	0
40732	DB00502|DB01173	DB00502	DB01173	training	training	training	0
40733	DB00502|DB00842	DB00502	DB00842	training	training	training	0
40734	DB00497|DB00502	DB00502	DB00497	training	training	training	0
40735	DB00502|DB09140	DB00502	DB09140	training	training	training	0
40736	DB00502|DB01053	DB00502	DB01053	training	training	training	0
40737	DB00417|DB00502	DB00502	DB00417	training	test	test	1
40738	DB00502|DB00652	DB00502	DB00652	training	training	training	0
40739	DB00502|DB00806	DB00502	DB00806	training	test	test	1
40740	DB00502|DB12710	DB00502	DB12710	training	training	training	0
40741	DB00502|DB00850	DB00502	DB00850	training	test	test	1
40742	DB00502|DB11058	DB00502	DB11058	training	validation	validation	1
40743	DB00502|DB01438	DB00502	DB01438	training	training	training	0
40744	DB00502|DB01174	DB00502	DB01174	training	training	training	0
40745	DB00502|DB00946	DB00502	DB00946	training	training	training	0
40746	DB00252|DB00502	DB00502	DB00252	training	training	training	0
40747	DB00502|DB01022	DB00502	DB01022	training	training	training	0
40748	DB00502|DB01100	DB00502	DB01100	training	training	training	0
40749	DB00502|DB09210	DB00502	DB09210	training	training	training	0
40750	DB00502|DB00670	DB00502	DB00670	training	training	training	0
40751	DB00502|DB00554	DB00502	DB00554	training	test	test	1
40752	DB00502|DB14500	DB00502	DB14500	training	training	training	0
40753	DB00502|DB00761	DB00502	DB00761	training	validation	validation	1
40754	DB00502|DB01588	DB00502	DB01588	training	training	training	0
40755	DB00457|DB00502	DB00502	DB00457	training	training	training	0
40756	DB00502|DB00860	DB00502	DB00860	training	training	training	0
40757	DB00502|DB00635	DB00502	DB00635	training	test	test	1
40758	DB00502|DB00794	DB00502	DB00794	training	training	training	0
40759	DB00502|DB01039	DB00502	DB01039	training	training	training	0
40760	DB00433|DB00502	DB00502	DB00433	training	test	test	1
40761	DB00387|DB00502	DB00502	DB00387	training	training	training	0
40762	DB00396|DB00502	DB00502	DB00396	training	training	training	0
40763	DB00420|DB00502	DB00502	DB00420	training	training	training	0
40764	DB00502|DB01069	DB00502	DB01069	training	training	training	0
40765	DB00502|DB01182	DB00502	DB01182	training	validation	validation	1
40766	DB00502|DB01608	DB00502	DB01608	training	validation	validation	1
40767	DB00502|DB00818	DB00502	DB00818	training	training	training	0
40768	DB00502|DB00647	DB00502	DB00647	training	training	training	0
40769	DB00502|DB00571	DB00502	DB00571	training	validation	validation	1
40770	DB00502|DB00852	DB00502	DB00852	training	training	training	0
40771	DB00502|DB11097	DB00502	DB11097	training	training	training	0
40772	DB00205|DB00502	DB00502	DB00205	training	training	training	0
40773	DB00468|DB00502	DB00502	DB00468	training	validation	validation	1
40774	DB00502|DB00863	DB00502	DB00863	training	training	training	0
40775	DB00502|DB00811	DB00502	DB00811	training	training	training	0
40776	DB00502|DB01045	DB00502	DB01045	training	validation	validation	1
40777	DB00502|DB05245	DB00502	DB05245	training	training	training	0
40778	DB00502|DB09512	DB00502	DB09512	training	training	training	0
40779	DB00502|DB09153	DB00502	DB09153	training	validation	validation	1
40780	DB00502|DB09072	DB00502	DB09072	training	training	training	0
40781	DB00489|DB00502	DB00502	DB00489	training	training	training	0
40782	DB00421|DB00502	DB00502	DB00421	training	training	training	0
40783	DB00502|DB01224	DB00502	DB01224	training	training	training	0
40784	DB00502|DB01306	DB00502	DB01306	training	training	training	0
40785	DB00502|DB00762	DB00502	DB00762	training	validation	validation	1
40786	DB00502|DB00678	DB00502	DB00678	training	training	training	0
40787	DB00244|DB00502	DB00502	DB00244	training	training	training	0
40788	DB00502|DB00790	DB00502	DB00790	training	training	training	0
40789	DB00502|DB09125	DB00502	DB09125	training	training	training	0
40790	DB00502|DB12278	DB00502	DB12278	training	training	training	0
40791	DB00502|DB12958	DB00502	DB12958	training	training	training	0
40792	DB00502|DB11738	DB00502	DB11738	training	test	test	1
40793	DB00502|DB01229	DB00502	DB01229	training	training	training	0
40794	DB00502|DB06149	DB00502	DB06149	training	training	training	0
40795	DB00502|DB00697	DB00502	DB00697	training	training	training	0
40796	DB00502|DB00660	DB00502	DB00660	training	training	training	0
40797	DB00502|DB00869	DB00502	DB00869	training	training	training	0
40798	DB00502|DB01276	DB00502	DB01276	training	training	training	0
40799	DB00334|DB00502	DB00502	DB00334	training	test	test	1
40800	DB00502|DB08813	DB00502	DB08813	training	validation	validation	1
40801	DB00502|DB01225	DB00502	DB01225	training	training	training	0
40802	DB00502|DB06779	DB00502	DB06779	training	test	test	1
40803	DB00502|DB00688	DB00502	DB00688	training	test	test	1
40804	DB00502|DB00709	DB00502	DB00709	training	training	training	0
40805	DB00502|DB00642	DB00502	DB00642	training	training	training	0
40806	DB00502|DB06283	DB00502	DB06283	training	training	training	0
40807	DB00502|DB01409	DB00502	DB01409	training	training	training	0
40808	DB00177|DB00502	DB00502	DB00177	training	training	training	0
40809	DB00502|DB13144	DB00502	DB13144	training	training	training	0
40810	DB00377|DB00502	DB00502	DB00377	training	test	test	1
40811	DB00502|DB01339	DB00502	DB01339	training	training	training	0
40812	DB00481|DB00502	DB00502	DB00481	training	training	training	0
40813	DB00268|DB00502	DB00502	DB00268	training	test	test	1
40814	DB00476|DB00502	DB00502	DB00476	training	training	training	0
40815	DB00502|DB01006	DB00502	DB01006	training	training	training	0
40816	DB00502|DB00912	DB00502	DB00912	training	training	training	0
40817	DB00502|DB04946	DB00502	DB04946	training	test	test	1
40818	DB00502|DB00966	DB00502	DB00966	training	test	test	1
40819	DB00502|DB00577	DB00502	DB00577	training	training	training	0
40820	DB00502|DB00962	DB00502	DB00962	training	test	test	1
40821	DB00502|DB00559	DB00502	DB00559	training	test	test	1
40822	DB00060|DB00502	DB00502	DB00060	training	training	training	0
40823	DB00502|DB00706	DB00502	DB00706	training	validation	validation	1
40824	DB00502|DB11089	DB00502	DB11089	training	training	training	0
40825	DB00502|DB01137	DB00502	DB01137	training	training	training	0
40826	DB00502|DB01232	DB00502	DB01232	training	test	test	1
40827	DB00502|DB01029	DB00502	DB01029	training	training	training	0
40828	DB00412|DB00502	DB00502	DB00412	training	training	training	0
40829	DB00502|DB01217	DB00502	DB01217	training	validation	validation	1
40830	DB00502|DB00503	DB00502	DB00503	training	validation	validation	1
40831	DB00502|DB00950	DB00502	DB00950	training	training	training	0
40832	DB00502|DB00953	DB00502	DB00953	training	validation	validation	1
40833	DB00471|DB00502	DB00502	DB00471	training	training	training	0
40834	DB00502|DB01238	DB00502	DB01238	training	training	training	0
40835	DB00502|DB01261	DB00502	DB01261	training	training	training	0
40836	DB00502|DB00980	DB00502	DB00980	training	test	test	1
40837	DB00502|DB09015	DB00502	DB09015	training	test	test	1
40838	DB00502|DB01267	DB00502	DB01267	training	training	training	0
40839	DB00502|DB06589	DB00502	DB06589	training	training	training	0
40840	DB00502|DB06817	DB00502	DB06817	training	training	training	0
40841	DB00413|DB00502	DB00502	DB00413	training	training	training	0
40842	DB00502|DB06216	DB00502	DB06216	training	training	training	0
40843	DB00062|DB00502	DB00502	DB00062	training	training	training	0
40844	DB00502|DB06643	DB00502	DB06643	training	test	test	1
40845	DB00454|DB01159	DB01159	DB00454	test	training	test	1
40846	DB01159|DB06690	DB01159	DB06690	test	training	test	1
40847	DB01159|DB09140	DB01159	DB09140	test	training	test	1
40848	DB00818|DB01159	DB01159	DB00818	test	training	test	1
40849	DB01159|DB01339	DB01159	DB01339	test	training	test	1
40850	DB00513|DB01109	DB01109	DB00513	training	training	training	0
40851	DB00058|DB01109	DB01109	DB00058	training	training	training	0
40852	DB00404|DB01109	DB01109	DB00404	training	training	training	0
40853	DB00770|DB01109	DB01109	DB00770	training	test	test	1
40854	DB00915|DB01109	DB01109	DB00915	training	training	training	0
40855	DB01109|DB06742	DB01109	DB06742	training	training	training	0
40856	DB00479|DB01109	DB01109	DB00479	training	test	test	1
40857	DB00594|DB01109	DB01109	DB00594	training	test	test	1
40858	DB01109|DB01118	DB01109	DB01118	training	test	test	1
40859	DB00321|DB01109	DB01109	DB00321	training	validation	validation	1
40860	DB01109|DB01275	DB01109	DB01275	training	test	test	1
40861	DB00999|DB01109	DB01109	DB00999	training	test	test	1
40862	DB00956|DB01109	DB01109	DB00956	training	training	training	0
40863	DB00741|DB01109	DB01109	DB00741	training	validation	validation	1
40864	DB01109|DB01611	DB01109	DB01611	training	training	training	0
40865	DB01109|DB09106	DB01109	DB09106	training	training	training	0
40866	DB01005|DB01109	DB01109	DB01005	training	training	training	0
40867	DB00557|DB01109	DB01109	DB00557	training	training	training	0
40868	DB01050|DB01109	DB01109	DB01050	training	training	training	0
40869	DB01109|DB01177	DB01109	DB01177	training	training	training	0
40870	DB01109|DB01181	DB01109	DB01181	training	training	training	0
40871	DB00808|DB01109	DB01109	DB00808	training	training	training	0
40872	DB00328|DB01109	DB01109	DB00328	training	training	training	0
40873	DB01109|DB01362	DB01109	DB01362	training	training	training	0
40874	DB01109|DB08947	DB01109	DB08947	training	test	test	1
40875	DB00753|DB01109	DB01109	DB00753	training	training	training	0
40876	DB00951|DB01109	DB01109	DB00951	training	test	test	1
40877	DB01064|DB01109	DB01109	DB01064	training	training	training	0
40878	DB01109|DB09401	DB01109	DB09401	training	test	test	1
40879	DB00883|DB01109	DB01109	DB00883	training	test	test	1
40880	DB00982|DB01109	DB01109	DB00982	training	training	training	0
40881	DB01109|DB01172	DB01109	DB01172	training	training	training	0
40882	DB01109|DB01221	DB01109	DB01221	training	test	test	1
40883	DB01026|DB01109	DB01109	DB01026	training	training	training	0
40884	DB01009|DB01109	DB01109	DB01009	training	training	training	0
40885	DB00598|DB01109	DB01109	DB00598	training	training	training	0
40886	DB01109|DB15823	DB01109	DB15823	training	training	training	0
40887	DB00581|DB01109	DB01109	DB00581	training	training	training	0
40888	DB00650|DB01109	DB01109	DB00650	training	validation	validation	1
40889	DB01109|DB01235	DB01109	DB01235	training	training	training	0
40890	DB00281|DB01109	DB01109	DB00281	training	training	training	0
40891	DB00836|DB01109	DB01109	DB00836	training	training	training	0
40892	DB00186|DB01109	DB01109	DB00186	training	training	training	0
40893	DB00227|DB01109	DB01109	DB00227	training	training	training	0
40894	DB00408|DB01109	DB01109	DB00408	training	training	training	0
40895	DB00123|DB01109	DB01109	DB00123	training	training	training	0
40896	DB01109|DB14513	DB01109	DB14513	training	test	test	1
40897	DB01109|DB09104	DB01109	DB09104	training	training	training	0
40898	DB01109|DB01377	DB01109	DB01377	training	training	training	0
40899	DB00742|DB01109	DB01109	DB00742	training	test	test	1
40900	DB00737|DB01109	DB01109	DB00737	training	training	training	0
40901	DB01065|DB01109	DB01109	DB01065	training	test	test	1
40902	DB01042|DB01109	DB01109	DB01042	training	training	training	0
40903	DB01043|DB01109	DB01109	DB01043	training	test	test	1
40904	DB00454|DB01109	DB01109	DB00454	training	training	training	0
40905	DB00371|DB01109	DB01109	DB00371	training	test	test	1
40906	DB00610|DB01109	DB01109	DB00610	training	training	training	0
40907	DB00331|DB01109	DB01109	DB00331	training	test	test	1
40908	DB00333|DB01109	DB01109	DB00333	training	training	training	0
40909	DB00763|DB01109	DB01109	DB00763	training	training	training	0
40910	DB00423|DB01109	DB01109	DB00423	training	test	test	1
40911	DB00563|DB01109	DB01109	DB00563	training	test	test	1
40912	DB01109|DB11228	DB01109	DB11228	training	training	training	0
40913	DB00422|DB01109	DB01109	DB00422	training	training	training	0
40914	DB00959|DB01109	DB01109	DB00959	training	training	training	0
40915	DB01109|DB01233	DB01109	DB01233	training	test	test	1
40916	DB00524|DB01109	DB01109	DB00524	training	training	training	0
40917	DB00264|DB01109	DB01109	DB00264	training	training	training	0
40918	DB00916|DB01109	DB01109	DB00916	training	training	training	0
40919	DB00379|DB01109	DB01109	DB00379	training	training	training	0
40920	DB01109|DB06148	DB01109	DB06148	training	training	training	0
40921	DB01109|DB01110	DB01109	DB01110	training	test	test	1
40922	DB00683|DB01109	DB01109	DB00683	training	test	test	1
40923	DB00211|DB01109	DB01109	DB00211	training	training	training	0
40924	DB01017|DB01109	DB01109	DB01017	training	training	training	0
40925	DB00350|DB01109	DB01109	DB00350	training	training	training	0
40926	DB01109|DB01204	DB01109	DB01204	training	test	test	1
40927	DB01109|DB09282	DB01109	DB09282	training	training	training	0
40928	DB00295|DB01109	DB01109	DB00295	training	training	training	0
40929	DB00332|DB01109	DB01109	DB00332	training	test	test	1
40930	DB01109|DB01203	DB01109	DB01203	training	validation	validation	1
40931	DB00607|DB01109	DB01109	DB00607	training	training	training	0
40932	DB01109|DB13588	DB01109	DB13588	training	training	training	0
40933	DB00844|DB01109	DB01109	DB00844	training	test	test	1
40934	DB01109|DB01183	DB01109	DB01183	training	training	training	0
40935	DB00788|DB01109	DB01109	DB00788	training	test	test	1
40936	DB01109|DB12293	DB01109	DB12293	training	training	training	0
40937	DB00994|DB01109	DB01109	DB00994	training	training	training	0
40938	DB01109|DB01400	DB01109	DB01400	training	validation	validation	1
40939	DB00627|DB01109	DB01109	DB00627	training	validation	validation	1
40940	DB00622|DB01109	DB01109	DB00622	training	training	training	0
40941	DB01109|DB01115	DB01109	DB01115	training	test	test	1
40942	DB00401|DB01109	DB01109	DB00401	training	validation	validation	1
40943	DB01109|DB01595	DB01109	DB01595	training	training	training	0
40944	DB00325|DB01109	DB01109	DB00325	training	training	training	0
40945	DB01109|DB06690	DB01109	DB06690	training	training	training	0
40946	DB00368|DB01109	DB01109	DB00368	training	training	training	0
40947	DB00717|DB01109	DB01109	DB00717	training	training	training	0
40948	DB00540|DB01109	DB01109	DB00540	training	training	training	0
40949	DB00646|DB01109	DB01109	DB00646	training	training	training	0
40950	DB00104|DB01109	DB01109	DB00104	training	training	training	0
40951	DB01109|DB01165	DB01109	DB01165	training	training	training	0
40952	DB00338|DB01109	DB01109	DB00338	training	training	training	0
40953	DB00816|DB01109	DB01109	DB00816	training	training	training	0
40954	DB00713|DB01109	DB01109	DB00713	training	test	test	1
40955	DB00842|DB01109	DB01109	DB00842	training	training	training	0
40956	DB00497|DB01109	DB01109	DB00497	training	training	training	0
40957	DB01109|DB09140	DB01109	DB09140	training	training	training	0
40958	DB00935|DB01109	DB01109	DB00935	training	training	training	0
40959	DB00107|DB01109	DB01109	DB00107	training	training	training	0
40960	DB01109|DB01337	DB01109	DB01337	training	training	training	0
40961	DB01109|DB11193	DB01109	DB11193	training	training	training	0
40962	DB01109|DB01113	DB01109	DB01113	training	test	test	1
40963	DB01053|DB01109	DB01109	DB01053	training	training	training	0
40964	DB00417|DB01109	DB01109	DB00417	training	test	test	1
40965	DB00738|DB01109	DB01109	DB00738	training	test	test	1
40966	DB00652|DB01109	DB01109	DB00652	training	training	training	0
40967	DB00806|DB01109	DB01109	DB00806	training	test	test	1
40968	DB01109|DB11058	DB01109	DB11058	training	validation	validation	1
40969	DB01109|DB01438	DB01109	DB01438	training	training	training	0
40970	DB01109|DB01174	DB01109	DB01174	training	training	training	0
40971	DB00946|DB01109	DB01109	DB00946	training	training	training	0
40972	DB00388|DB01109	DB01109	DB00388	training	training	training	0
40973	DB00252|DB01109	DB01109	DB00252	training	training	training	0
40974	DB01109|DB12944	DB01109	DB12944	training	training	training	0
40975	DB01022|DB01109	DB01109	DB01022	training	training	training	0
40976	DB00554|DB01109	DB01109	DB00554	training	test	test	1
40977	DB00009|DB01109	DB01109	DB00009	training	training	training	0
40978	DB00781|DB01109	DB01109	DB00781	training	test	test	1
40979	DB01109|DB14500	DB01109	DB14500	training	training	training	0
40980	DB00761|DB01109	DB01109	DB00761	training	validation	validation	1
40981	DB00457|DB01109	DB01109	DB00457	training	training	training	0
40982	DB00860|DB01109	DB01109	DB00860	training	training	training	0
40983	DB00635|DB01109	DB01109	DB00635	training	test	test	1
40984	DB00750|DB01109	DB01109	DB00750	training	training	training	0
40985	DB00794|DB01109	DB01109	DB00794	training	training	training	0
40986	DB01032|DB01109	DB01109	DB01032	training	training	training	0
40987	DB01035|DB01109	DB01109	DB01035	training	validation	validation	1
40988	DB01039|DB01109	DB01109	DB01039	training	training	training	0
40989	DB00433|DB01109	DB01109	DB00433	training	test	test	1
40990	DB01069|DB01109	DB01109	DB01069	training	training	training	0
40991	DB01109|DB01182	DB01109	DB01182	training	validation	validation	1
40992	DB00818|DB01109	DB01109	DB00818	training	training	training	0
40993	DB00647|DB01109	DB01109	DB00647	training	training	training	0
40994	DB00571|DB01109	DB01109	DB00571	training	validation	validation	1
40995	DB01109|DB01240	DB01109	DB01240	training	training	training	0
40996	DB01109|DB09141	DB01109	DB09141	training	training	training	0
40997	DB00852|DB01109	DB01109	DB00852	training	training	training	0
40998	DB01109|DB11097	DB01109	DB11097	training	training	training	0
40999	DB00339|DB01109	DB01109	DB00339	training	training	training	0
41000	DB00908|DB01109	DB01109	DB00908	training	validation	validation	1
41001	DB00468|DB01109	DB01109	DB00468	training	validation	validation	1
41002	DB00863|DB01109	DB01109	DB00863	training	training	training	0
41003	DB00811|DB01109	DB01109	DB00811	training	training	training	0
41004	DB01045|DB01109	DB01109	DB01045	training	validation	validation	1
41005	DB00778|DB01109	DB01109	DB00778	training	training	training	0
41006	DB00795|DB01109	DB01109	DB00795	training	training	training	0
41007	DB01109|DB05245	DB01109	DB05245	training	training	training	0
41008	DB01109|DB09512	DB01109	DB09512	training	training	training	0
41009	DB01109|DB09153	DB01109	DB09153	training	validation	validation	1
41010	DB01109|DB09072	DB01109	DB09072	training	training	training	0
41011	DB01109|DB01638	DB01109	DB01638	training	test	test	1
41012	DB00489|DB01109	DB01109	DB00489	training	training	training	0
41013	DB01109|DB09422	DB01109	DB09422	training	training	training	0
41014	DB01109|DB06145	DB01109	DB06145	training	training	training	0
41015	DB00421|DB01109	DB01109	DB00421	training	training	training	0
41016	DB00244|DB01109	DB01109	DB00244	training	training	training	0
41017	DB00235|DB01109	DB01109	DB00235	training	training	training	0
41018	DB00790|DB01109	DB01109	DB00790	training	training	training	0
41019	DB01109|DB11738	DB01109	DB11738	training	test	test	1
41020	DB01109|DB09154	DB01109	DB09154	training	training	training	0
41021	DB00708|DB01109	DB01109	DB00708	training	training	training	0
41022	DB01109|DB01229	DB01109	DB01229	training	training	training	0
41023	DB01109|DB06149	DB01109	DB06149	training	training	training	0
41024	DB00697|DB01109	DB01109	DB00697	training	training	training	0
41025	DB01030|DB01109	DB01109	DB01030	training	test	test	1
41026	DB00660|DB01109	DB01109	DB00660	training	training	training	0
41027	DB00869|DB01109	DB01109	DB00869	training	training	training	0
41028	DB01109|DB01117	DB01109	DB01117	training	training	training	0
41029	DB01109|DB11783	DB01109	DB11783	training	training	training	0
41030	DB01109|DB01276	DB01109	DB01276	training	training	training	0
41031	DB00006|DB01109	DB01109	DB00006	training	test	test	1
41032	DB00334|DB01109	DB01109	DB00334	training	test	test	1
41033	DB01109|DB13704	DB01109	DB13704	training	test	test	1
41034	DB01109|DB08813	DB01109	DB08813	training	validation	validation	1
41035	DB01109|DB01225	DB01109	DB01225	training	training	training	0
41036	DB01109|DB06779	DB01109	DB06779	training	test	test	1
41037	DB00757|DB01109	DB01109	DB00757	training	training	training	0
41038	DB00426|DB01109	DB01109	DB00426	training	training	training	0
41039	DB00728|DB01109	DB01109	DB00728	training	training	training	0
41040	DB00688|DB01109	DB01109	DB00688	training	test	test	1
41041	DB00709|DB01109	DB01109	DB00709	training	training	training	0
41042	DB00642|DB01109	DB01109	DB00642	training	training	training	0
41043	DB01109|DB01409	DB01109	DB01409	training	training	training	0
41044	DB00177|DB01109	DB01109	DB00177	training	training	training	0
41045	DB01109|DB13144	DB01109	DB13144	training	training	training	0
41046	DB00377|DB01109	DB01109	DB00377	training	test	test	1
41047	DB01109|DB01339	DB01109	DB01339	training	training	training	0
41048	DB00481|DB01109	DB01109	DB00481	training	training	training	0
41049	DB01109|DB01320	DB01109	DB01320	training	test	test	1
41050	DB00268|DB01109	DB01109	DB00268	training	test	test	1
41051	DB00476|DB01109	DB01109	DB00476	training	training	training	0
41052	DB01006|DB01109	DB01109	DB01006	training	training	training	0
41053	DB00899|DB01109	DB01109	DB00899	training	training	training	0
41054	DB00912|DB01109	DB01109	DB00912	training	training	training	0
41055	DB00775|DB01109	DB01109	DB00775	training	training	training	0
41056	DB00966|DB01109	DB01109	DB00966	training	test	test	1
41057	DB00577|DB01109	DB01109	DB00577	training	training	training	0
41058	DB00910|DB01109	DB01109	DB00910	training	test	test	1
41059	DB00962|DB01109	DB01109	DB00962	training	test	test	1
41060	DB00559|DB01109	DB01109	DB00559	training	test	test	1
41061	DB00063|DB01109	DB01109	DB00063	training	training	training	0
41062	DB00060|DB01109	DB01109	DB00060	training	training	training	0
41063	DB00015|DB01109	DB01109	DB00015	training	training	training	0
41064	DB00706|DB01109	DB01109	DB00706	training	validation	validation	1
41065	DB01109|DB06754	DB01109	DB06754	training	test	test	1
41066	DB01109|DB13528	DB01109	DB13528	training	training	training	0
41067	DB01109|DB11089	DB01109	DB11089	training	training	training	0
41068	DB01109|DB01137	DB01109	DB01137	training	training	training	0
41069	DB01109|DB01128	DB01109	DB01128	training	training	training	0
41070	DB01029|DB01109	DB01109	DB01029	training	training	training	0
41071	DB00054|DB01109	DB01109	DB00054	training	training	training	0
41072	DB00412|DB01109	DB01109	DB00412	training	training	training	0
41073	DB01109|DB01217	DB01109	DB01217	training	validation	validation	1
41074	DB00503|DB01109	DB01109	DB00503	training	validation	validation	1
41075	DB00950|DB01109	DB01109	DB00950	training	training	training	0
41076	DB00471|DB01109	DB01109	DB00471	training	training	training	0
41077	DB01109|DB01238	DB01109	DB01238	training	training	training	0
41078	DB01109|DB01273	DB01109	DB01273	training	training	training	0
41079	DB01109|DB01257	DB01109	DB01257	training	training	training	0
41080	DB01109|DB01261	DB01109	DB01261	training	training	training	0
41081	DB01109|DB01270	DB01109	DB01270	training	test	test	1
41082	DB01109|DB06209	DB01109	DB06209	training	training	training	0
41083	DB01109|DB01609	DB01109	DB01609	training	training	training	0
41084	DB01109|DB09015	DB01109	DB09015	training	test	test	1
41085	DB01109|DB06287	DB01109	DB06287	training	validation	validation	1
41086	DB01109|DB04868	DB01109	DB04868	training	training	training	0
41087	DB01109|DB08904	DB01109	DB08904	training	training	training	0
41088	DB01109|DB09107	DB01109	DB09107	training	training	training	0
41089	DB01109|DB06809	DB01109	DB06809	training	test	test	1
41090	DB00413|DB01109	DB01109	DB00413	training	training	training	0
41091	DB00062|DB01109	DB01109	DB00062	training	training	training	0
41092	DB01109|DB10328	DB01109	DB10328	training	test	test	1
41093	DB01109|DB08860	DB01109	DB08860	training	test	test	1
41094	DB01109|DB06643	DB01109	DB06643	training	test	test	1
41095	DB01109|DB06688	DB01109	DB06688	training	test	test	1
41096	DB00404|DB13574	DB13574	DB00404	training	training	training	0
41097	DB00557|DB13574	DB13574	DB00557	training	training	training	0
41098	DB00186|DB13574	DB13574	DB00186	training	training	training	0
41099	DB00408|DB13574	DB13574	DB00408	training	training	training	0
41100	DB00788|DB13574	DB13574	DB00788	training	test	test	1
41101	DB00842|DB13574	DB13574	DB00842	training	training	training	0
41102	DB01588|DB13574	DB13574	DB01588	training	training	training	0
41103	DB00334|DB13574	DB13574	DB00334	training	test	test	1
41104	DB01238|DB13574	DB13574	DB01238	training	training	training	0
41105	DB00404|DB04703	DB04703	DB00404	training	training	training	0
41106	DB01118|DB04703	DB04703	DB01118	training	test	test	1
41107	DB00321|DB04703	DB04703	DB00321	training	validation	validation	1
41108	DB00999|DB04703	DB04703	DB00999	training	test	test	1
41109	DB00557|DB04703	DB04703	DB00557	training	training	training	0
41110	DB01009|DB04703	DB04703	DB01009	training	training	training	0
41111	DB00581|DB04703	DB04703	DB00581	training	training	training	0
41112	DB00186|DB04703	DB04703	DB00186	training	training	training	0
41113	DB00331|DB04703	DB04703	DB00331	training	test	test	1
41114	DB00563|DB04703	DB04703	DB00563	training	test	test	1
41115	DB00264|DB04703	DB04703	DB00264	training	training	training	0
41116	DB00788|DB04703	DB04703	DB00788	training	test	test	1
41117	DB00622|DB04703	DB04703	DB00622	training	training	training	0
41118	DB00338|DB04703	DB04703	DB00338	training	training	training	0
41119	DB00842|DB04703	DB04703	DB00842	training	training	training	0
41120	DB00761|DB04703	DB04703	DB00761	training	validation	validation	1
41121	DB00635|DB04703	DB04703	DB00635	training	test	test	1
41122	DB01039|DB04703	DB04703	DB01039	training	training	training	0
41123	DB00863|DB04703	DB04703	DB00863	training	training	training	0
41124	DB04703|DB09072	DB04703	DB09072	training	training	training	0
41125	DB00421|DB04703	DB04703	DB00421	training	training	training	0
41126	DB00790|DB04703	DB04703	DB00790	training	training	training	0
41127	DB01225|DB04703	DB04703	DB01225	training	training	training	0
41128	DB01409|DB04703	DB04703	DB01409	training	training	training	0
41129	DB00177|DB04703	DB04703	DB00177	training	training	training	0
41130	DB00912|DB04703	DB04703	DB00912	training	training	training	0
41131	DB00966|DB04703	DB04703	DB00966	training	test	test	1
41132	DB01029|DB04703	DB04703	DB01029	training	training	training	0
41133	DB01050|DB08958	DB08958	DB01050	test	training	test	1
41134	DB00264|DB08958	DB08958	DB00264	test	training	test	1
41135	DB00338|DB05381	DB05381	DB00338	test	training	test	1
41136	DB00404|DB01275	DB01275	DB00404	test	training	test	1
41137	DB00594|DB01275	DB01275	DB00594	test	test	test	2
41138	DB01118|DB01275	DB01275	DB01118	test	test	test	2
41139	DB00321|DB01275	DB01275	DB00321	test	validation	test	1
41140	DB00999|DB01275	DB01275	DB00999	test	test	test	2
41141	DB00956|DB01275	DB01275	DB00956	test	training	test	1
41142	DB00741|DB01275	DB01275	DB00741	test	validation	test	1
41143	DB01275|DB09526	DB01275	DB09526	test	test	test	2
41144	DB01275|DB01611	DB01275	DB01611	test	training	test	1
41145	DB01005|DB01275	DB01275	DB01005	test	training	test	1
41146	DB00557|DB01275	DB01275	DB00557	test	training	test	1
41147	DB01050|DB01275	DB01275	DB01050	test	training	test	1
41148	DB00808|DB01275	DB01275	DB00808	test	training	test	1
41149	DB00328|DB01275	DB01275	DB00328	test	training	test	1
41150	DB01275|DB01362	DB01275	DB01362	test	training	test	1
41151	DB01275|DB09401	DB01275	DB09401	test	test	test	2
41152	DB00883|DB01275	DB01275	DB00883	test	test	test	2
41153	DB00598|DB01275	DB01275	DB00598	test	training	test	1
